임신부터 출산 후 24개월까지 — 전체 콘텐츠 인벤토리,,,,,,,,,,,,,,,,,,,,,,,,,,
한 행은 하나의 정보 또는 행동 단위입니다. 필터로 시기·주제·유형·행동 단계·대상·중요도를 조합해 검토하세요. 의료·행정 내용은 공식 출처 확인 후 사용하세요.,,,,,,,,,,,,,,,,,,,,,,,,,,
번호,대시기,세부 시기,시점 기준,시작 값,종료 값,단위,주제,세부 주제,태그,콘텐츠 유형,행동 단계,대상,제목,요약,왜 필요한가,어떻게 하는가,중요도,체크 가능,개인화 조건,관련 항목,공식 출처,출처 상태,검토 상태,예상 비용,바우처 사용 가능,메모
193,병원 회복,출생 D+0~D+7,출생일,0,7,일,아기 건강·돌봄,신생아 상태,,검사·진료,결과 확인,아기,출생 접종 기록 확인,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시기에 따라 확인할 수 있는 검사·진료 항목이에요.,시행 여부와 정확한 시기는 담당 의료진에게 확인하세요.,필수,예,공통,출생 접종 기록 확인,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
194,병원 회복,출생 D+0~D+7,출생일,0,7,일,행정·지원 혜택,병원 서류,,할 일,실행,부부,출생 관련 서류 발급 방법 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,출생 관련 서류 발급 방법 확인,,편집 검토 필요,초안,,,
195,병원 회복,출생 D+0~D+7,출생일,0,7,일,행정·지원 혜택,병원 서류,,할 일,실행,부부,보험 청구에 필요한 서류 요청,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,보험 청구에 필요한 서류 요청,,편집 검토 필요,초안,,,
196,병원 회복,출생 D+0~D+7,출생일,0,7,일,행정·지원 혜택,병원 서류,,할 일,실행,부부,퇴원 전 받은 서류 사진·파일 보관,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,퇴원 전 받은 서류 사진·파일 보관,,편집 검토 필요,초안,,,
197,병원 회복,출생 D+0~D+7,출생일,0,7,일,병원·조리원·돌봄 서비스,산후도우미,,할 일,신청·예약,부부,산후도우미 실제 신청 가능 여부 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,산후도우미 이용,산후도우미 실제 신청 가능 여부 확인,https://www.bokjiro.go.kr/,공식 출처 확인 필요,초안,,,
198,병원 회복,출생 D+0~D+7,출생일,0,7,일,병원·조리원·돌봄 서비스,산후도우미,,할 일,신청·예약,부부,이용 시작일과 제공기관 확정,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,산후도우미 이용,이용 시작일과 제공기관 확정,,병원·기관 확인 필요,초안,,,
199,병원 회복,출생 D+0~D+7,출생일,0,7,일,산모 건강·회복,산후 위험 신호,,병원 확인 신호,실행,산모,패드를 빠르게 적실 정도의 출혈,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,패드를 빠르게 적실 정도의 출혈,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
200,병원 회복,출생 D+0~D+7,출생일,0,7,일,산모 건강·회복,산후 위험 신호,,병원 확인 신호,실행,산모,고열·심한 통증,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,고열·심한 통증,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
201,병원 회복,출생 D+0~D+7,출생일,0,7,일,산모 건강·회복,산후 위험 신호,,병원 확인 신호,실행,산모,흉통·호흡곤란,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,흉통·호흡곤란,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
202,병원 회복,출생 D+0~D+7,출생일,0,7,일,산모 건강·회복,산후 위험 신호,,병원 확인 신호,실행,산모,의식이 흐려짐,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,의식이 흐려짐,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
203,조리원,조리원 D+0~D+14,조리원 입소일,0,14,일,산모 건강·회복,산후 회복,,가이드,실행,산모,오로 양상과 회복 상태 관찰,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,오로 양상과 회복 상태 관찰,,편집 검토 필요,초안,,,
204,조리원,조리원 D+0~D+14,조리원 입소일,0,14,일,산모 건강·회복,산후 회복,,가이드,실행,산모,회음부 또는 수술부위 관리 안내 따르기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,회음부 또는 수술부위 관리 안내 따르기,,편집 검토 필요,초안,,,
205,조리원,조리원 D+0~D+14,조리원 입소일,0,14,일,산모 건강·회복,산후 회복,,가이드,실행,산모,유방 울혈과 통증 도움 요청,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,유방 울혈과 통증 도움 요청,,편집 검토 필요,초안,,,
206,조리원,조리원 D+0~D+14,조리원 입소일,0,14,일,산모 건강·회복,산후 회복,,가이드,실행,산모,수면과 식사·수분 섭취 챙기기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,수면과 식사·수분 섭취 챙기기,,편집 검토 필요,초안,,,
207,조리원,조리원 D+0~D+14,조리원 입소일,0,14,일,아기 건강·돌봄,초기 돌봄,,가이드,알아보기,아기,수유 자세와 트림 배우기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,수유 자세와 트림 배우기,,편집 검토 필요,초안,,,
208,조리원,조리원 D+0~D+14,조리원 입소일,0,14,일,아기 건강·돌봄,초기 돌봄,,가이드,알아보기,아기,기저귀 교체와 배꼽 관리 배우기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,기저귀 교체와 배꼽 관리 배우기,,편집 검토 필요,초안,,,
209,조리원,조리원 D+0~D+14,조리원 입소일,0,14,일,아기 건강·돌봄,초기 돌봄,,가이드,알아보기,아기,목욕과 피부 관리 배우기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,목욕과 피부 관리 배우기,,편집 검토 필요,초안,,,
210,조리원,조리원 D+0~D+14,조리원 입소일,0,14,일,아기 건강·돌봄,초기 돌봄,,가이드,알아보기,아기,아기 울음과 수면 신호 관찰하기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,아기 울음과 수면 신호 관찰하기,,편집 검토 필요,초안,,,
211,조리원,조리원 D+0~D+14,조리원 입소일,0,14,일,보호자·부부 역할,집 준비,,할 일,실행,부부,집 청소·세탁 마무리,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,집 청소·세탁 마무리,,편집 검토 필요,초안,,,
212,조리원,조리원 D+0~D+14,조리원 입소일,0,14,일,보호자·부부 역할,집 준비,,할 일,실행,부부,아기 수면·수유·기저귀 공간 준비,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,아기 수면·수유·기저귀 공간 준비,,편집 검토 필요,초안,,,
213,조리원,조리원 D+0~D+14,조리원 입소일,0,14,일,보호자·부부 역할,집 준비,,할 일,실행,부부,산모 식사와 생활 동선 준비,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,산모 식사와 생활 동선 준비,,편집 검토 필요,초안,,,
214,조리원,조리원 D+0~D+14,조리원 입소일,0,14,일,보호자·부부 역할,집 준비,,할 일,실행,부부,가족 방문 일정 조율,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,가족 방문 일정 조율,,편집 검토 필요,초안,,,
215,조리원,조리원 D+0~D+14,조리원 입소일,0,14,일,병원·조리원·돌봄 서비스,퇴소 준비,,할 일,결과 확인,부부,퇴소 전 산모·아기 상태 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,조리원 이용,퇴소 전 산모·아기 상태 확인,,병원·기관 확인 필요,초안,,,
216,조리원,조리원 D+0~D+14,조리원 입소일,0,14,일,병원·조리원·돌봄 서비스,퇴소 준비,,할 일,결과 확인,부부,검사·접종 기록과 다음 일정 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,조리원 이용,검사·접종 기록과 다음 일정 확인,https://nip.kdca.go.kr/,공식 출처 확인 필요,초안,,,
217,조리원,조리원 D+0~D+14,조리원 입소일,0,14,일,병원·조리원·돌봄 서비스,퇴소 준비,,할 일,결과 확인,부부,조리원 비용과 추가 결제 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,조리원 이용,조리원 비용과 추가 결제 확인,,병원·기관 확인 필요,초안,조리원별 상이,확인 필요,
218,조리원,조리원 D+0~D+14,조리원 입소일,0,14,일,산모 건강·회복,정신건강,,병원 확인 신호,실행,산모,심한 우울감이 지속됨,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,심한 우울감이 지속됨,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
219,조리원,조리원 D+0~D+14,조리원 입소일,0,14,일,산모 건강·회복,정신건강,,병원 확인 신호,실행,산모,자신이나 아기를 해칠 생각이 듦,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,자신이나 아기를 해칠 생각이 듦,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
220,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,출산 준비,퇴원·이동,,할 일,실행,부부,카시트 설치 상태 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,카시트 설치 상태 확인,,편집 검토 필요,초안,,,
221,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,출산 준비,퇴원·이동,,할 일,실행,부부,아기 퇴원복과 이동용 담요 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,아기 퇴원복과 이동용 담요 확인,,편집 검토 필요,초안,,,
222,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,출산 준비,퇴원·이동,,할 일,실행,부부,퇴원 시간·결제·주차 동선 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,퇴원 시간·결제·주차 동선 확인,,편집 검토 필요,초안,,,
223,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,아기 건강·돌봄,집에서의 첫 돌봄,,할 일,실행,아기,수유량·수유시간 기록 시작,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,수유량·수유시간 기록 시작,,편집 검토 필요,초안,,,
224,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,아기 건강·돌봄,집에서의 첫 돌봄,,할 일,실행,아기,소변·대변 횟수 기록 시작,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,소변·대변 횟수 기록 시작,,편집 검토 필요,초안,,,
225,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,아기 건강·돌봄,집에서의 첫 돌봄,,할 일,실행,아기,체온계 사용 방법 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,체온계 사용 방법 확인,,편집 검토 필요,초안,,,
226,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,아기 건강·돌봄,집에서의 첫 돌봄,,할 일,실행,아기,예방접종·진료 일정 캘린더에 저장,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,예방접종·진료 일정 캘린더에 저장,https://nip.kdca.go.kr/,공식 출처 확인 필요,초안,,,
227,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,산모 건강·회복,집에서의 회복,,할 일,실행,산모,산모 약과 진료 일정 정리,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,산모 약과 진료 일정 정리,,편집 검토 필요,초안,,,
228,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,산모 건강·회복,집에서의 회복,,할 일,실행,산모,오로·통증·상처 상태 기록,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,오로·통증·상처 상태 기록,,편집 검토 필요,초안,,,
229,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,산모 건강·회복,집에서의 회복,,할 일,실행,산모,수면과 식사 지원 계획 실행,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,수면과 식사 지원 계획 실행,https://www.gov.kr/,공식 출처 확인 필요,초안,,,
230,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,행정·지원 혜택,출생 후 신청,,할 일,신청·예약,부부,출생신고 진행,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,출생신고 진행,https://www.gov.kr/,공식 출처 확인 필요,초안,,,
231,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,행정·지원 혜택,출생 후 신청,,할 일,신청·예약,부부,행복출산 원스톱서비스 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,행복출산 원스톱서비스 확인,https://www.gov.kr/,공식 출처 확인 필요,초안,,,
232,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,행정·지원 혜택,출생 후 신청,,할 일,신청·예약,부부,첫만남이용권 신청 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,첫만남이용권 신청 확인,https://www.gov.kr/,공식 출처 확인 필요,초안,,,
233,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,행정·지원 혜택,출생 후 신청,,할 일,신청·예약,부부,부모급여 신청 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,부모급여 신청 확인,https://www.gov.kr/,공식 출처 확인 필요,초안,,,
234,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,행정·지원 혜택,출생 후 신청,,할 일,신청·예약,부부,아동수당 신청 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,아동수당 신청 확인,https://www.gov.kr/,공식 출처 확인 필요,초안,,,
235,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,행정·지원 혜택,출생 후 신청,,할 일,신청·예약,부부,거주 지역 출산 지원 신청 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,거주 지역 출산 지원 신청 확인,https://www.gov.kr/,공식 출처 확인 필요,초안,,,
236,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,병원·조리원·돌봄 서비스,진료기관,,할 일,비교·결정,부부,집 근처 소아청소년과 알아보기,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,집 근처 소아청소년과 알아보기,,병원·기관 확인 필요,초안,,,
237,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,병원·조리원·돌봄 서비스,진료기관,,할 일,비교·결정,부부,야간·휴일 진료 대안 저장,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,야간·휴일 진료 대안 저장,,병원·기관 확인 필요,초안,,,
238,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,병원·조리원·돌봄 서비스,진료기관,,할 일,비교·결정,부부,산모 응급 연락처 저장,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,산모 응급 연락처 저장,,병원·기관 확인 필요,초안,,,
239,신생아기,생후 0~4주,출생일,0,28,일,아기 건강·돌봄,수유,,가이드,실행,아기,수유 신호 관찰,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,수유 신호 관찰,,편집 검토 필요,초안,,,
240,신생아기,생후 0~4주,출생일,0,28,일,아기 건강·돌봄,수유,,가이드,실행,아기,모유·분유·혼합수유 기록,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,모유·분유·혼합수유 기록,,편집 검토 필요,초안,,,
241,신생아기,생후 0~4주,출생일,0,28,일,아기 건강·돌봄,수유,,가이드,실행,아기,수유 후 트림과 역류 관찰,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,수유 후 트림과 역류 관찰,,편집 검토 필요,초안,,,
242,신생아기,생후 0~4주,출생일,0,28,일,아기 건강·돌봄,수유,,가이드,실행,아기,수유가 거의 안 될 때 도움 요청,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,수유가 거의 안 될 때 도움 요청,,편집 검토 필요,초안,,,
243,신생아기,생후 0~4주,출생일,0,28,일,아기 건강·돌봄,위생·배꼽,,가이드,실행,아기,기저귀 교체와 피부 상태 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,기저귀 교체와 피부 상태 확인,,편집 검토 필요,초안,,,
244,신생아기,생후 0~4주,출생일,0,28,일,아기 건강·돌봄,위생·배꼽,,가이드,실행,아기,배꼽 상태 관찰과 안내된 관리,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,배꼽 상태 관찰과 안내된 관리,,편집 검토 필요,초안,,,
245,신생아기,생후 0~4주,출생일,0,28,일,아기 건강·돌봄,위생·배꼽,,가이드,실행,아기,목욕 준비와 안전한 이동,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,목욕 준비와 안전한 이동,,편집 검토 필요,초안,,,
246,신생아기,생후 0~4주,출생일,0,28,일,아기 건강·돌봄,위생·배꼽,,가이드,실행,아기,손톱과 얼굴 긁힘 관리,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,손톱과 얼굴 긁힘 관리,,편집 검토 필요,초안,,,
247,신생아기,생후 0~4주,출생일,0,28,일,아기 건강·돌봄,수면·울음,,가이드,알아보기,부부,신생아의 짧고 불규칙한 수면 이해,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,신생아의 짧고 불규칙한 수면 이해,,편집 검토 필요,초안,,,
248,신생아기,생후 0~4주,출생일,0,28,일,아기 건강·돌봄,수면·울음,,가이드,알아보기,부부,안전한 수면 환경 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,안전한 수면 환경 확인,,편집 검토 필요,초안,,,
249,신생아기,생후 0~4주,출생일,0,28,일,아기 건강·돌봄,수면·울음,,가이드,알아보기,부부,울음 원인을 순서대로 확인,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,울음 원인을 순서대로 확인,,편집 검토 필요,초안,,,
250,신생아기,생후 0~4주,출생일,0,28,일,아기 건강·돌봄,수면·울음,,가이드,알아보기,부부,보호자가 지칠 때 교대하기,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,보호자가 지칠 때 교대하기,,편집 검토 필요,초안,,,
251,신생아기,생후 0~4주,출생일,0,28,일,예방접종·건강검진,출생 후 일정,,할 일,신청·예약,아기,B형간염 출생 접종 기록 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,B형간염 출생 접종 기록 확인,https://nip.kdca.go.kr/,공식 출처 확인 필요,초안,,,
252,신생아기,생후 0~4주,출생일,0,28,일,예방접종·건강검진,출생 후 일정,,할 일,신청·예약,아기,BCG 접종 일정과 기관 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,BCG 접종 일정과 기관 확인,https://nip.kdca.go.kr/,공식 출처 확인 필요,초안,,,
253,신생아기,생후 0~4주,출생일,0,28,일,예방접종·건강검진,출생 후 일정,,할 일,신청·예약,아기,생후 1개월 접종 일정 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,생후 1개월 접종 일정 확인,https://nip.kdca.go.kr/,공식 출처 확인 필요,초안,,,
254,신생아기,생후 0~4주,출생일,0,28,일,예방접종·건강검진,출생 후 일정,,할 일,신청·예약,아기,신생아 선별검사 결과 확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,신생아 선별검사 결과 확인,,편집 검토 필요,초안,,,
255,신생아기,생후 0~4주,출생일,0,28,일,아기 건강·돌봄,응급 신호,,병원 확인 신호,실행,아기,발열 또는 체온 이상,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,발열 또는 체온 이상,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
256,신생아기,생후 0~4주,출생일,0,28,일,아기 건강·돌봄,응급 신호,,병원 확인 신호,실행,아기,호흡곤란·청색증,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,호흡곤란·청색증,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
257,신생아기,생후 0~4주,출생일,0,28,일,아기 건강·돌봄,응급 신호,,병원 확인 신호,실행,아기,축 처지거나 깨우기 어려움,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,축 처지거나 깨우기 어려움,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
258,신생아기,생후 0~4주,출생일,0,28,일,아기 건강·돌봄,응급 신호,,병원 확인 신호,실행,아기,수유 거부·소변 급감,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,의료기관에 확인이 필요한 신호를 놓치지 않기 위해 필요해요.,증상이 있거나 판단이 어렵다면 지체하지 말고 의료기관에 문의하세요.,주의,예,공통,수유 거부·소변 급감,https://www.childcare.go.kr/,공식 출처 확인 필요,초안,,,
